SourceCode,SourceDescription,SourceTermStatus,TargetSourceCode,TargetDescription,TargetTermStatus,TargetDomain,IsRestricted,Source Archetype ID,Source Archetype Node ID,Source Archetype path,Source Archetype reference ID,,,,,,,,
1000,Priority,Active,107100-0,Encounter priority,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id2,/other_details[id2],,,,,,,,,
1001,Planned start time,Active,106197-7,Start date and time Date Pt Qn,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id3,/other_details[id3],,,,,,,,,
1002,Planned end time,Active,106180-3,End date and time Patient Date Pt Qn,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id4,/other_details[id4],,,,,,,,,
1003,Duration,Active,73980-5,Visit duration Patient Time Pt Qn,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id5,/other_details[id5],,,,,,,,,
1004,Reason for encounter,Active,e46b4216-e475-ef11-8870-6045bdc71c8b,Encounter purpose coded,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id6,/other_details[id6],,,,,,,,,
1005,Health service type,Active,42548-8,Service Patient Find Pt Nom Observed.MERSTH,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id7,/other_details[id7],,,,,,,,,
1006,Incoming referral id,Active,107103-4,Incoming referral identifier,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id8,/other_details[id8],,,,,,,,,
1007,Readmission flag,Active,107099-4,Readmission indicator,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id9,/other_details[id9],,,,,,,,,
1008,Chief complaint,Active,8661-1,Chief complaint Patient Find Pt Nom Reported,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id17,/other_details[id17],,,,,,,,,
1009,Discharge diagnosis,Active,8651-2,Hospital discharge Dx Patient Imp Pt Nom,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id18,/other_details[id18],,,,,,,,,
1010,Discharge disposition,Active,55128-3,Discharge disposition,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id19,/other_details[id19],,,,,,,,,
1011,Admit medications list,Active,107098-6,Admission medication list,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id20,/other_details[id20],,,,,,,,,
1012,Discharge orders,Active,52428-0,"Discharge medication, Identifier",Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id21,/other_details[id21],,,,,,,,,
1013,Encounter purpose narrative,Active,104915-4,Reason for encounter Patient Find Pt Nar,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id22,/other_details[id22],,,,,,,,,
1014,Discharge instructions,Active,74213-0,Discharge instructions {Setting} Find Pt Doc {Role},Active,Clinical Document,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id23,/other_details[id23],,,,,,,,,
1015,Billing encounter,Active,107101-8,Billing encounter information panel,Active,General,False,s2-ADMIN-Billing_encounter.encounter_general.v1,id1,/,,,,,,,,,
1016,Allergies and intolerances list - Substance,Active,104986-5,Substance Patient Find Pt Nom,Active,General,False,s2-EHR-Composition.allergies_intolerances_list.v1,id2,/content[id2],s2-EHR-Assessment.adverse_reaction_risk.v2,,,,,,,,
1017,Allergies and intolerances list,Active,106203-3,Allergy intolerance list Patient Find Pt Nom,Active,General,False,s2-EHR-Composition.allergies_intolerances_list.v1,id1,/,,,,,,,,,
1018,Primary problem/Problem / diagnoses,Active,3ae85dde-6582-ef11-8870-6045bdc71c8b,Primary Problem/Diagnosis list,Active,General,False,s2-EHR-Composition.care_plan.v0,id12,/content[id2]/items[id12],s2-EHR-Assessment.problem_diagnosis.v1,,,,,,,,
1019,Primary problem,Active,67492-9,Primary problem Patient Imp Pt Nom NEMSIS,Active,General,False,s2-EHR-Composition.care_plan.v0,id2,/content[id2],,,,,,,,,
1020,Related problems/Problem / diagnoses,Active,c71dfbec-6582-ef11-8870-6045bdc71c8b,Related Problem/Diagnosis,Active,General,False,s2-EHR-Composition.care_plan.v0,id12,/content[id3]/items[id12],s2-EHR-Assessment.problem_diagnosis.v1,,,,,,,,
1021,Related problems,Active,69542-9,Secondary problem Patient Imp Pt Nom NEMSIS,Active,General,False,s2-EHR-Composition.care_plan.v0,id3,/content[id3],,,,,,,,,
1022,Goal,Active,b90d46e3-6682-ef11-8870-6045bdc71c8b,Health care goal information panel,Active,General,False,s2-EHR-Composition.care_plan.v0,id14,/content[id4]/items[id14],s2-EHR-Assessment.goal.v1,,,,,,,,
1023,Care plan Goals,Active,bc7f4b0f-6682-ef11-8870-6045bdc71c8b,Health care goal list,Active,General,False,s2-EHR-Composition.care_plan.v0,id4,/content[id4],,,,,,,,,
1024,Care plan/Plan description,Active,95235e1b-6682-ef11-8870-6045bdc71c8b,Plan of care description,Active,General,False,s2-EHR-Composition.care_plan.v0,id5,/content[id5],,,,,,,,,
1025,Orders,Active,cfa8c219-f249-ef11-886e-6045bdc71c8b,Medication order information panel,Active,General,False,s2-EHR-Composition.care_plan.v0,id8,/content[id6]/items[id7]/items[id8],s2-EHR-Order.medication_order.v4,,,,,,,,
1026,Targets,Active,8e647228-6682-ef11-8870-6045bdc71c8b,Intervention target,Active,General,False,s2-EHR-Composition.care_plan.v0,id9,/content[id6]/items[id7]/items[id9],,,,,,,,,
1027,Actions,Active,e8b31e31-6682-ef11-8870-6045bdc71c8b,Intervention action,Active,General,False,s2-EHR-Composition.care_plan.v0,id10,/content[id6]/items[id7]/items[id10],s2-EHR-Action.medication.v1,,,,,,,,
1028,Intervention,Active,29300-1,Procedure Patient Type Pt Nom,Active,General,False,s2-EHR-Composition.care_plan.v0,id7,/content[id6]/items[id7],,,,,,,,,
1029,Interventions,Active,77b10e3b-6682-ef11-8870-6045bdc71c8b,Intervention list,Active,General,False,s2-EHR-Composition.care_plan.v0,id6,/content[id6],,,,,,,,,
1030,Monitoring,Active,08a63943-6682-ef11-8870-6045bdc71c8b,Care plan monitoring,Active,General,False,s2-EHR-Composition.care_plan.v0,id11,/content[id11],,,,,,,,,
1031,Care plan,Active,56851-9,Care process or plan Patient Prid Pt Nom,Active,General,False,s2-EHR-Composition.care_plan.v0,id1,/,,,,,,,,,
1032,Encounter Id,Active,75519-9,Encounter identifier,Active,General,False,s2-EHR-Composition.encounter.v1,id3,/context[id2]/other_context[id3],,,,,,,,,
1033,Encounter,Active,b222fc49-6682-ef11-8870-6045bdc71c8b,Encounter information panel,Active,General,False,s2-EHR-Composition.encounter.v1,id1,/,,,,,,,,,
1034,Family history assessment,Active,8670-2,History of family member diseases Family member Hx Pt Nom,Active,General,False,s2-EHR-Composition.family_history.v1,id2,/content[id2],s2-EHR-Assessment.family_history.v2,,,,,,,,
1035,Family history record,Active,8670-2,History of family member diseases Family member Hx Pt Nom,Active,General,False,s2-EHR-Composition.family_history.v1,id1,/,,,,,,,,,
1036,Report identifier,Active,90084-5,Report identifier Report ID Pt Nom,Active,Clinical Document,False,s2-EHR-Composition.lab_report.v1,id3,/context[id2]/other_context[id3],,,,,,,,,
1037,Report status,Active,91582-7,Report status Report Type Pt Nom,Active,Clinical Document,False,s2-EHR-Composition.lab_report.v1,id9,/context[id2]/other_context[id9],,,,,,,,,
1038,Lab report,Active,107138-0,"Lab report, structured",Active,General,False,s2-EHR-Composition.lab_report.v1,id1,/,,,,,,,,,
1039,Medication List,Active,104207-6,Medication administration list Pharmacy ID Episode Nom,Active,General,False,s2-EHR-Composition.medication_list.v1,id1,/,,,,,,,,,
1040,Principal problem,Active,67492-9,Primary problem Patient Imp Pt Nom NEMSIS,Active,General,False,s2-EHR-Composition.problem_list.v1,id3,/content[id2]/items[id3],s2-EHR-Section.problem_list_headings.v1,,,,,,,,
1041,Principal  problems,Active,3ae85dde-6582-ef11-8870-6045bdc71c8b,Primary Problem/Diagnosis list,Active,General,False,s2-EHR-Composition.problem_list.v1,id2,/content[id2],,,,,,,,,
1042,Additional problem information,Active,66299-9,Other physical or medical problem Patient Hx Pt Nom PhenX,Active,General,False,s2-EHR-Composition.problem_list.v1,id5,/content[id4]/items[id5],s2-EHR-Section.problem_list_headings.v1,,,,,,,,
1043,Additional problems,Active,c24ce03e-918d-ef11-8872-6045bdc71c8b,Secondary problem/diagnosis list,Active,General,False,s2-EHR-Composition.problem_list.v1,id4,/content[id4],,,,,,,,,
1044,Master problem List,Active,11450-4,Problem list Patient Find Pt Nom Reported,Active,General,False,s2-EHR-Composition.problem_list.v1,id1,/,,,,,,,,,
1045,Medication order,Active,cfa8c219-f249-ef11-886e-6045bdc71c8b,Medication order information panel,Active,General,False,s2-EHR-Composition.simple_medication_list.v1,id2,/content[id2],s2-EHR-Order.medication_order.v4,,,,,,,,
1046,Simple medication List,Active,104207-6,Medication administration list Pharmacy ID Episode Nom,Active,General,False,s2-EHR-Composition.simple_medication_list.v1,id1,/,,,,,,,,,
