SourceCode,SourceDescription,SourceTermStatus,TargetSourceCode,TargetDescription,TargetTermStatus,TargetDomain,IsRestricted,Source Archetype ID,Source Archetype Node ID,Source Archetype Path,Source Archetype Reference Node ID
2758,ABO group Bld Type Pt Nom,Active,883-9,ABO group Bld Type Pt Nom,Active,Lab Test,False,s2-EHR-Node.ABOGroupTypePtBldNomLabObs.v1.0.0,id1.1.1,/,
1554,Abortions,Active,11612-9,Abortions Patient Num Pt Qn Reported,Active,Procedure - Imaging,False,s2-EHR-Assessment.obstetric_summary.v1.0.1,id18,/data[id18],
3581,ACMG classification,Active,53037-8,Genetic disease sequence variation interpretation Bld/Tiss Imp Pt Nom Molgen,Active,Lab Test,False,s2-EHR-Node.genomic_variant_result.v1.0.3,id59,/items[id9]/items[id59],
4103,Active/Inactive?,Active,99493-9,Condition clinical status Patient Find Pt Nom,Active,General,False,s2-EHR-Node.problem_qualifier.v2.0.0,id4,/items[id4],
4163,Activity,Active,73786-6,Activity [NSRAS],Active,General,False,s2-EHR-Node.service_direction.v1.0.1,id4,/items[id4],
4397,Activity,Active,104935-2,Care plan requested activity information Person,Active,General,False,s2-EHR-Order.care_plan_request.v0.0.1-alpha,id2,/activities[id2],
4416,Activity,Active,73786-6,Activity [NSRAS],Active,General,False,s2-EHR-Order.informed_consent_request.v0.0.1-alpha,id5,/activities[id3]/description[id5],
4477,Activity,Active,73786-6,Activity [NSRAS],Active,General,False,s2-EHR-Order.supplemental_oxygen_order.v0.0.1-alpha,id16,/activities[id2]/description[id16],
4687,Activity,Active,73786-6,Activity [NSRAS],Active,General,False,s2-EHR-Score.braden_scale_q.v0.0.1-alpha,id11,/data[id11],
4697,Activity,Active,38223-4,Physical activity Patient Find Pt Ord Observed.Braden scale,Active,General,False,s2-EHR-Score.braden_scale.v1.2.1,id11,/data[id11],
1608,Additional details,Active,46696-1,Additional comments [RFC],Active,General,False,s2-EHR-Assessment.pregnancy_summary.v0.0.1-alpha,id162,/data[id162],s2-EHR-Node.exam-placenta.v0.0.1-alpha
2928,Additional details,Active,46696-1,Additional comments [RFC],Active,General,False,s2-EHR-Node.delay_details.v0.0.1-alpha,id11,/items[id11],s2-EHR-Node.delay_details.v0.0.1-alpha
4449,Additional instruction,Active,104796-8,Medication additional instruction [Doc] Medication Narrative,Active,General,False,s2-EHR-Order.medication_order.v3.1.0,id45,/activities[id2]/description[id45],
2759,Address,Active,99953-2,Address Entity Addr Pt Nom,Active,General,False,s2-EHR-Node.address.v1.1.0,id1,/,
4067,Address,Active,90052-2,Address Organization Addr Pt Nom,Active,General,False,s2-EHR-Node.organization.v1.0.1,id6,/items[id6],s2-EHR-Node.address.v1.1.0
4083,Address,Active,99953-2,Address Entity Addr Pt Nom,Active,General,False,s2-EHR-Node.person.v1.0.2,id6,/items[id6],s2-EHR-Node.address.v1.1.0
5416,Address,Active,99953-2,Address Entity Addr Pt Nom,Active,General,False,s2-Entity-Address.address.v0.0.1-alpha,id1,/,
3614,Address details,Active,99952-4,Address panel Entity - Pt -,Active,General,False,s2-EHR-Node.housing_record.v1.0.0,id5,/items[id5],s2-EHR-Node.address.v1.1.0
2764,Address line,Active,d989d4bb-64e8-ee11-8869-6045bdc71c8b,Entity Address line,Active,General,False,s2-EHR-Node.address.v1.1.0,id2,/items[id2],
5420,Address lines,Active,d989d4bb-64e8-ee11-8869-6045bdc71c8b,Entity Address line,Active,General,False,s2-Entity-Address.address.v0.0.1-alpha,id3,/description[id3],
3061,Administration duration,Active,91383-0,Medication duration Patient Time Pt Qn Reported,Active,General,False,s2-EHR-Node.dosage.v2.0.2,id103,/items[id103],
4465,Administration method,Active,104817-2,Medication administration method Medication,Active,General,False,s2-EHR-Order.medication_order.v3.1.0,id95,/activities[id2]/description[id95],
3062,Administration rate,Active,52426-4,"Administered medication, Rate",Active,General,False,s2-EHR-Node.dosage.v2.0.2,id135,/items[id135],
1419,Administrative gender,Active,76691-5,Gender identity Patient Type Pt Nom Reported,Active,General,False,s2-EHR-Assessment.gender.v1.1.1,id23,/data[id23],
1112,Administrative language,Active,54505-3,Language,Active,General,False,s2-EHR-Admin_entry.translation_requirements.v1.1.1,id3,/data[id3],s2-EHR-Node.language.v1.0.2
1089,Admission category,Active,104947-7,Admission category Narrative,Active,General,False,s2-EHR-Admin_entry.episode_institution.v0.0.1-alpha,id10,/data[id10],
1104,Admission date,Active,52455-3,Admission date Patient TmStp Pt Qn,Active,General,False,s2-EHR-Admin_entry.episode_institution.v0.0.1-alpha,id5,/data[id5],
4108,Admission diagnosis?,Active,78026-2,Diagnosis present on admission,Active,General,False,s2-EHR-Node.problem_qualifier.v2.0.0,id74,/items[id74],
1139,Advance care directive,Active,75320-2,Advance directive Patient Type Pt Nom,Active,General,False,s2-EHR-Assessment.advance_care_directive.v2.0.1,id1,/,
3444,Affected family,Active,104929-5,Problem affected family information Family member,Active,General,False,s2-EHR-Node.family_prevalence.v1.0.5,id32,/items[id32],
1823,Age,Active,30525-0,Age Patient Time Pt Qn,Active,Lab Test,False,s2-EHR-Direct_observation.age.v0.0.1-alpha,id1,/,
1319,Age at death,Active,39016-1,Age at death Patient Time Pt Qn,Active,Lab Test,False,s2-EHR-Assessment.death_summary.v1.0.0,id55,/data[id55],
1371,Age at death,Active,39016-1,Age at death Patient Time Pt Qn,Active,Lab Test,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id12,/data[id4]/items[id12],
4543,Age at diagnosis,Active,63932-8,Age at diagnosis Patient Time Pt Qn,Active,General,False,s2-EHR-Questionnaire_response.family_history_screening_questionnaire.v0.0.1-alpha,id38,/data[id10]/items[id38],
1827,Age category,Active,46251-5,Age group Patient Type Pt Ord,Active,General,False,s2-EHR-Direct_observation.age.v0.0.1-alpha,id8,/data[id8],
4756,Age Group,Active,46251-5,Age group Patient Type Pt Ord,Active,General,False,s2-EHR-Score.caprini_score.v0.0.1-alpha,id8,/data[id8],
4767,Age Group,Active,46251-5,Age group Patient Type Pt Ord,Active,General,False,s2-EHR-Score.chadsvas_score.v0.0.1-alpha,id36,/data[id36],
4787,Age group,Active,46251-5,Age group Patient Type Pt Ord,Active,General,False,s2-EHR-Score.charlson_comorbidity_index.v1.0.0,id62,/data[id62],
4979,Age Group,Active,46251-5,Age group Patient Type Pt Ord,Active,General,False,s2-EHR-Score.grace_admission.v0.0.1-alpha,id5,/data[id5],
1373,Alias,Active,56798-2,Alias Patient Pn Pt Nom,Active,General,False,s2-EHR-Assessment.family_history.v2.0.5-alpha,id21,/data[id4]/items[id21],
3553,Allele frequency,Active,81258-6,Sample variant allelic frequency Patient NFr Pt Qn,Active,Lab Test,False,s2-EHR-Node.genomic_variant_result.v1.0.3,id48,/items[id48],
3551,Allelic state,Active,53034-5,Allelic state Bld/Tiss Find Pt Nom Molgen,Active,Lab Test,False,s2-EHR-Node.genomic_variant_result.v1.0.3,id41,/items[id41],
4460,Allowed period,Active,104790-1,Medication maximum dose allowed period,Active,General,False,s2-EHR-Order.medication_order.v3.1.0,id54,/activities[id2]/description[id63]/items[id52]/items[id54],
3878,Alternate amount,Active,104823-0,Medication alternate amount,Active,General,False,s2-EHR-Node.medication.v2.0.1,id149,/items[id149],
5574,Alternative name representations/Alternative representation,Active,56798-2,Alias Patient Pn Pt Nom,Active,General,False,s2-Entity-Party_identity.person_name.v0.0.1-alpha,id23,/description[id8]/items[id23],
2760,Altitude,Active,41905-1,Altitude Patient Len Pt Qn,Active,General,False,s2-EHR-Node.address.v1.1.0,id10,/items[id10],
