SourceDescription,SNOMED ID,SNOMED Description,UCUMSyntax
acre,282386006,acre (qualifier value),[acr_us]
amp,278078000,Ampere (qualifier value),A
Ångström,282282005,angstrom (qualifier value),Ao
APL Unit,2711000175106,Arbitrary unit of immunoglobulin A isotype for phospholipid antigen (qualifier value),[APL'U]
arbitrary unit,258766007,Arbitrary unit (qualifier value),[arb'U]
Arbitrary Unit per Milliliter,418913000,Arbitrary unit per milliliter (qualifier value),[arb'U]/mL
ATMOSPHERE,304607008,atmosphere (qualifier value),atm
bar,428003006,Bar - unit of product usage (qualifier value),bar
barrel,732983004,Barrel (unit of presentation),[bbl_us]
becquerel,282141004,Becquerel (qualifier value),Bq
Bethesda unit,258725007,Bethesda units (qualifier value),[beth'U]
British thermal unit,283002006,British thermal unit (qualifier value),[Btu]
calorie,258790008,calorie (qualifier value),cal
candela,282254003,candela (qualifier value),cd
CentiGram,396156008,Centigram (qualifier value),cg
CentiLiter,258772007,Centiliter (qualifier value),cL
centimeter,258672001,Centimeter (qualifier value),cm
Centipoise,259040005,centipoise (qualifier value),cP
centistoke,282284006,centistokes (qualifier value),cSt
colony forming unit,258733008,colony-forming unit (qualifier value),[CFU]
Colony Forming Unit Per Liter,258884002,Colony-forming units/liter (qualifier value),{CFU}/L
colony forming unit per milliliter,258882003,Colony-forming units/milliliter (qualifier value),[CFU]/mL
Copy Per MilliLiter,413913003,Copies/milliliter (qualifier value),{Copies}/mL
Coulomb,284482008,coulomb (qualifier value),C
count,258734002,counts (qualifier value),{count}
cubic foot,282121009,cubic foot (qualifier value),[cft_i]
cubic inch,282122002,cubic inch (qualifier value),[cin_i]
Cubic Meter,396154006,Cubic meter (qualifier value),[m3]
cubic millimeter,258774008,Microliter (qualifier value),[cmm]
cubic yard,282123007,cubic yard (qualifier value),[cyd_i]
cup,732991008,Cup (unit of presentation),[cup_us]
Curie,282109005,Curie (qualifier value),Ci
day,258703001,day (qualifier value),d
decibel,259042002,decibel (qualifier value),dB
decigram,396157004,Decigram (qualifier value),dg
deciliter,258771000,Deciliter (qualifier value),dL
DeciMeter,258671008,Decimeter (qualifier value),dm
degree,259046004,degrees of arc (qualifier value),deg
"degree, Celsius",258710007,Degrees Celsius (qualifier value),Cel
"degree, fahrenheit",258712004,Degrees Fahrenheit (qualifier value),[degF]
"degree, kelvin",258713009,Degrees Kelvin (qualifier value),K
diopter,259047008,Diopters (qualifier value),[diop]
drop,732994000,Drop (unit of presentation),[drp]
dyne,282815007,dyne (qualifier value),dyn
Dyne Second per Centimeter^5,277383001,dyne/s/cm5 (qualifier value),dyn.s/cm5
Each per Low Power Field,415059001,Per low power field (qualifier value),{Each}/[LPF]
Each per Second,288495006,per second (qualifier value),{Each}/s
Ehrlich Unit,414081004,Ehrlich unit (qualifier value),[EU] 
Ehrlich Unit Per DeciLiter,698100007,Ehrlich units per deciliter (qualifier value),[EU]/dL
electronvolt,282252004,electronvolt (qualifier value),eV
equivalent,258726008,equivalent - unit (qualifier value),eq
farad,304610001,farad (qualifier value),F
femtogram,258688001,femtogram (qualifier value),fg
femtoliter,258775009,Femtoliter (qualifier value),fL
femtomole,258722005,femtomole (qualifier value),fmol
FemtoMole Per MilliLiter,258819003,Picomole/liter (qualifier value),fmol/mL
fluid ounce,282118007,fluid ounce (qualifier value),[foz_us]
foot,259051005,Foot (qualifier value),[ft_i]
Gal,282120005,gallon (qualifier value),Gal
gallon,282120005,gallon (qualifier value),[gal_us]
Gigabecquerel,418931004,Gigabecquerel (qualifier value),GBq
GPL Unit,420126000,Arbitrary unit of immunoglobulin G isotype for phospholipid antigen (qualifier value),[GPL'U]
GPL Unit,420126000,Arbitrary unit of immunoglobulin G isotype for phospholipid antigen (qualifier value),[GPL'U]
gram,258682000,gram (qualifier value),g
gram per 24 hour,258830000,Gram/24 hours (qualifier value),g/[24]h
gram per deciliter,258795003,Gram/deciliter (qualifier value),g/dL
Gram Per Gram Creatinine,419800004,Grams per gram of creatinine (qualifier value),g/g{Cre}
gram per kilogram,396167009,Gram/kilogram (qualifier value),g/kg
gram per liter,258794004,Gram/liter (qualifier value),g/L
Gram Per MilliLiter,396169007,Gram/milliliter (qualifier value),g/mL
Gram Per Square Meter,396168004,Gram/square meter (qualifier value),g/m2
Gram Per Total Weight,228919004,Gram/kilogram body weight (qualifier value),g/{TotalWeight}
gram-force,259053008,Gram-force (qualifier value),gf
GramMeter,277384007,Gram.meter (qualifier value),g.m
GramMeter Per Heart beat Per Square Meter,414362004,Gram-meter/beat/meter2 (qualifier value),g.m/({H.B.}.m2)
Gray,229029004,Gray (qualifier value),Gy
Heart Beat/minute,258983007,Beats/minute (qualifier value),{H.B.}/min
henry,304612009,henry (qualifier value),H
hertz,259025008,Hertz (qualifier value),Hz
high power field,259034003,per high power field (qualifier value),[HPF]
horsepower,283000003,horsepower (qualifier value),[HP]
hour,258702006,hour (qualifier value),h
IgG Phospholipid Unit Per MilliLiter,258897000,Immunoglobulin G phospholipid unit/milliliter (qualifier value),{IgGPhospholipid}U/mL
IgM Phospholipid Unit Per MilliLiter,258898005,Immunoglobulin M phospholipid unit/milliliter (qualifier value),{IgMPhospholipid}U/mL
inch,258677007,Inch (qualifier value),[in_i]
international table British thermal unit,283002006,British thermal unit (qualifier value),[Btu_IT]
international table calorie,258790008,calorie (qualifier value),cal_IT
international unit,258997004,international unit (qualifier value),[iU]
international unit per deciliter,426110007,International unit/deciliter (qualifier value),[iU]/dL
international unit per gram,408163000,International units per gram (qualifier value),[iU]/g
international unit per gram hemoglobin,258900007,International unit/gram hemoglobin (qualifier value),[iU]/g{Hgb}
international unit per kilogram,259007001,international units per kilogram (qualifier value),[iU]/kg
international unit per liter,259001000,International unit/liter (qualifier value),[iU]/L
international unit per milliliter,259002007,international unit/milliliter (qualifier value),[iU]/mL
international unit per square meter,414524001,International units per square meter (qualifier value),[iU]/m2
joule,258786006,Joule (qualifier value),J
katal,258777001,Katal (qualifier value),kat
Kelvin,258713009,Degrees Kelvin (qualifier value),K
Kilo International Unit,258998009,Kilointernational unit (qualifier value),k[iU]
kilocalorie,258791007,kilocalorie (qualifier value),kcal
kilocalorie per kilogram,228910000,Kilocalorie/kilogram body weight (qualifier value),kcal/kg
kilocalorie per milliliter,228902001,Kilocalorie/milliliter (qualifier value),kcal/mL
kilogram,258683005,kilogram (qualifier value),kg
KiloGram Per Cubic Meter,396153000,Kilogram/cubic meter (qualifier value),kg/m3
KiloGram Per Liter,408162005,Kilogram/liter (qualifier value),kg/L
KiloGram Per Square Meter,258896009,Kilogram/square meter (qualifier value),kg/m2
kilometer,258670009,Kilometer (qualifier value),km
knot,282136007,knot (qualifier value),[kn_i]
liter,258770004,Liter (qualifier value),L
liter per kilogram,419805009,Milliliter/gram (qualifier value),L/kg
liter per second,258995007,Liter/second (qualifier value),L/s
Log International Unit per Milliliter,418229004,Log international units per milliliter (qualifier value),{log_IU}/mL
Log10,418543008,Log base 10 (qualifier value),[lg]
low power field,415059001,Per low power field (qualifier value),[LPF]
lux,282255002,lux (qualifier value),lx
Megabecquerel,229034000,Megabecquerel (qualifier value),MBq
meter,258669008,meter (qualifier value),m
Meter per Second,272090007,Meter/second (qualifier value),m/s
Micro International Unit,259000004,Microinternational unit (qualifier value),u[iU]
Micro International Unit Per MilliLiter,259006005,Microinternational unit/milliliter (qualifier value),u[iU]/mL
MicroCurie,282111001,Microcurie (qualifier value),uCi
microequivalent,258728009,microequivalent (qualifier value),ueq
MicroEquivalent Per Liter,419083003,Microequivalents/liter (qualifier value),ueq/L
MicroEquivalent Per MilliLiter,414733002,Milliequivalents/milliliter (qualifier value),ueq/mL
microgram,258685003,microgram (qualifier value),ug
microgram per deciliter,258800008,Microgram/deciliter (qualifier value),ug/dL
MicroGram Per DeciLiter Red Blood Cells,258911004,Microgram/deciliter erythrocytes (qualifier value),ug/dL{rbc}
MicroGram Per Gram,258802000,Microgram/gram (qualifier value),ug/g
MicroGram Per Gram Creatinine,258912006,Microgram per gram of creatinine (qualifier value),ug/g{Cre}
MicroGram Per Gram Dry Weight,258914007,Microgram/gram dry weight tissue (qualifier value),ug/g{DryWeight}
MicroGram Per Gram Hemoglobin,419350000,Micrograms per gram hemoglobin (qualifier value),ug/g{Hgb}
